"Date","Price","Open","High","Low","Change %"
"06/01/2010","0.177","0.162","0.188","0.020","9.26%"
"05/01/2010","0.162","0.165","0.185","0.104","-1.82%"
"04/01/2010","0.165","0.157","0.183","0.142","5.10%"
"03/01/2010","0.157","0.132","0.177","0.114","26.61%"
"02/01/2010","0.124","0.081","0.132","0.005","63.16%"
"01/01/2010","0.076","0.061","0.091","0.030","24.59%"
"12/01/2009","0.061","0.071","0.233","0.023","8.93%"
"11/01/2009","0.056","0.061","0.142","0.013","9.80%"
"10/01/2009","0.051","0.142","0.162","0.048","-59.84%"
"09/01/2009","0.127","0.157","0.236","0.015","-10.56%"
"08/01/2009","0.142","0.188","0.254","0.005","-23.24%"
"07/01/2009","0.185","0.193","0.274","0.013","-4.15%"
"06/01/2009","0.193","0.152","0.223","0.008","40.88%"
"05/01/2009","0.137","0.132","0.208","0.129","3.79%"
"04/01/2009","0.132","0.208","0.238","0.081","-36.54%"
"03/01/2009","0.208","0.254","0.299","0.122","-18.11%"
"02/01/2009","0.254","0.243","0.345","0.218","4.53%"
"01/01/2009","0.243","0.117","0.254","0.056","91.34%"
"12/01/2008","0.127","0.025","0.513","-0.005","252.78%"
"11/01/2008","0.036","0.447","0.528","0.005","-91.86%"
"10/01/2008","0.442","0.874","1.292","0.117","-51.43%"
"09/01/2008","0.910","1.715","1.879","0.020","-47.28%"
"08/01/2008","1.726","1.675","1.920","1.598","3.35%"
"07/01/2008","1.670","1.839","1.915","1.307","-2.91%"
"06/01/2008","1.720","1.905","2.115","1.634","-9.71%"
"05/01/2008","1.905","1.393","2.136","1.346","40.90%"
"04/01/2008","1.352","1.398","1.526","1.060","6.96%"
"03/01/2008","1.264","1.838","1.930","0.514","-28.43%"
"02/01/2008","1.766","1.941","2.326","1.766","-4.49%"
"01/01/2008","1.849","3.384","3.404","1.936","-40.89%"
"12/01/2007","3.128","3.155","3.383","2.738","5.71%"
"11/01/2007","2.959","2.959","2.959","2.959","-22.70%"
"10/01/2007","3.828","3.828","3.828","3.828","4.25%"
"09/01/2007","3.672","3.672","3.672","3.672","-4.92%"
"08/01/2007","3.862","3.862","3.862","3.862","-21.50%"
"07/01/2007","4.920","4.920","4.920","4.920","3.43%"
"06/01/2007","4.757","4.757","4.757","4.757","1.00%"
"05/01/2007","4.710","4.710","4.710","4.710","-2.59%"
"04/01/2007","4.835","4.835","4.835","4.835","-3.63%"
"03/01/2007","5.017","5.017","5.017","5.017","-1.90%"
"02/01/2007","5.114","5.114","5.114","5.114","0.22%"
