"Date","Price","Open","High","Low","Vol.","Change %"
"01-07-2003","496.8","480.2","505.1","473.9","","3.46%"
"01-06-2003","480.2","474.5","495.1","472.9","","1.19%"
"01-05-2003","474.5","438.8","474.5","431.9","","8.15%"
"01-04-2003","438.8","409.5","440.1","407.8","","7.16%"
"01-03-2003","409.5","406.4","423.5","381.8","","0.75%"
"01-02-2003","406.4","416.9","419.2","391.2","","-2.51%"
"01-01-2003","416.9","429.8","448.0","408.8","","-3.00%"
"01-12-2002","429.8","448.6","457.2","424.1","","-4.20%"
"01-11-2002","448.6","424.6","452.2","413.7","","5.65%"
"01-10-2002","424.6","407.4","430.9","370.8","","4.23%"
"01-09-2002","407.4","443.4","450.4","399.2","","-8.13%"
"01-08-2002","443.4","441.7","466.5","406.5","","0.39%"
"01-07-2002","441.7","489.5","489.9","384.9","","-9.76%"
"01-06-2002","489.5","528.6","528.6","469.3","","-7.39%"
"01-05-2002","528.6","538.2","548.7","522.7","","-1.79%"
"01-04-2002","538.2","541.1","554.0","525.6","","-0.53%"
"01-03-2002","541.1","505.4","543.9","505.4","","7.07%"
"01-02-2002","505.4","505.3","512.0","484.8","","0.02%"
"01-01-2002","505.3","508.3","519.5","491.4","","-0.59%"
"01-12-2001","508.3","483.8","514.5","479.8","","5.08%"
"01-11-2001","483.8","450.8","491.8","446.8","","7.32%"
"01-10-2001","450.8","432.0","467.7","420.0","","4.34%"
"01-09-2001","432.0","493.8","499.5","397.5","","-12.51%"
"01-08-2001","493.8","511.0","517.0","488.9","","-3.38%"
"01-07-2001","511.0","518.5","519.2","491.0","","-1.55%"
"01-06-2001","519.1","521.6","540.8","498.8","","-0.47%"
"01-05-2001","521.6","510.3","547.5","499.2","","2.21%"
"01-04-2001","510.3","459.9","515.3","432.4","","10.96%"
"01-03-2001","459.9","497.3","511.0","433.4","","-7.51%"
"01-02-2001","497.3","527.9","530.8","486.8","","-5.80%"
"01-01-2001","527.9","516.7","533.8","481.3","","2.16%"
